project,type,field,description,your_input
Monte,商空,S1_QUOTE_ZH,中文大引言,
Monte,商空,S4_ZH,中文段落1,
Monte,商空,S6_ZH,中文段落2,
Monte,商空,S8_ZH,中文段落3,
R. Sanderson,商空,S1_QUOTE_ZH,中文大引言,
R. Sanderson,商空,S4_ZH,中文段落1,
R. Sanderson,商空,S6_ZH,中文段落2,
R. Sanderson,商空,S8_ZH,中文段落3,
樂樽爐端燒,商空,S1_QUOTE_ZH,中文大引言,
樂樽爐端燒,商空,S4_ZH,中文段落1,
樂樽爐端燒,商空,S6_ZH,中文段落2,
樂樽爐端燒,商空,S8_ZH,中文段落3,
慕診所,商空,S1_QUOTE_ZH,中文大引言,
慕診所,商空,S4_ZH,中文段落1,
慕診所,商空,S6_ZH,中文段落2,
慕診所,商空,S8_ZH,中文段落3,
敦化32F,商空,S1_QUOTE_ZH,中文大引言,
敦化32F,商空,S4_ZH,中文段落1,
敦化32F,商空,S6_ZH,中文段落2,
敦化32F,商空,S8_ZH,中文段落3,
ELLE Café,商空,S1_QUOTE_ZH,中文大引言,
ELLE Café,商空,S4_ZH,中文段落1,
ELLE Café,商空,S6_ZH,中文段落2,
ELLE Café,商空,S8_ZH,中文段落3,
Fire Play,商空,S1_QUOTE_ZH,中文大引言,
IRON CHEF,商空,S1_QUOTE_ZH,中文大引言,
IRON CHEF,商空,S4_ZH,中文段落1,
IRON CHEF,商空,S6_ZH,中文段落2,
IRON CHEF,商空,S8_ZH,中文段落3,
Cava Baja,商空,S1_QUOTE_ZH,中文大引言,
Retrodandy,商空,S1_QUOTE_ZH,中文大引言,
Retrodandy,商空,S4_ZH,中文段落1,
Retrodandy,商空,S6_ZH,中文段落2,
Retrodandy,商空,S8_ZH,中文段落3,
浪花花藝,商空,S1_QUOTE_ZH,中文大引言,
浪花花藝,商空,S4_ZH,中文段落1,
浪花花藝,商空,S6_ZH,中文段落2,
浪花花藝,商空,S8_ZH,中文段落3,
耘角,商空,S1_QUOTE_ZH,中文大引言,
耘角,商空,S4_ZH,中文段落1,
耘角,商空,S6_ZH,中文段落2,
耘角,商空,S8_ZH,中文段落3,
敦南9F,商空,S1_QUOTE_ZH,中文大引言,
敦南9F,商空,S4_ZH,中文段落1,
敦南9F,商空,S6_ZH,中文段落2,
敦南9F,商空,S8_ZH,中文段落3,
新創視眼鏡,商空,S1_QUOTE_ZH,中文大引言,
恆隆行 南港LaLaport,商空,S1_QUOTE_ZH,中文大引言,
恆隆行 南港LaLaport,商空,S4_ZH,中文段落1,
恆隆行 南港LaLaport,商空,S6_ZH,中文段落2,
恆隆行 南港LaLaport,商空,S8_ZH,中文段落3,
Residence R,住宅,S1_QUOTE_ZH,中文大引言,
Residence R,住宅,S4_ZH,中文段落1,
Residence R,住宅,S6_ZH,中文段落2,
Residence R,住宅,S8_ZH,中文段落3,
Residence C,住宅,S1_QUOTE_ZH,中文大引言,
Residence C,住宅,S4_ZH,中文段落1,
Residence C,住宅,S6_ZH,中文段落2,
Residence C,住宅,S8_ZH,中文段落3,
Residence L,住宅,S1_QUOTE_ZH,中文大引言,
Residence L,住宅,S4_ZH,中文段落1,
Residence L,住宅,S6_ZH,中文段落2,
Residence L,住宅,S8_ZH,中文段落3,
Residence M,住宅,S1_QUOTE_ZH,中文大引言,
Residence M,住宅,S4_ZH,中文段落1,
Residence M,住宅,S6_ZH,中文段落2,
Residence M,住宅,S8_ZH,中文段落3,
Residence P,住宅,S1_QUOTE_ZH,中文大引言,
Residence P,住宅,S4_ZH,中文段落1,
Residence P,住宅,S6_ZH,中文段落2,
Residence P,住宅,S8_ZH,中文段落3,
